# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TG       = Etmaalgemiddelde temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TG
# 
  260,19910101,   48
  260,19910102,  101
  260,19910103,   80
  260,19910104,   58
  260,19910105,   54
  260,19910106,   63
  260,19910107,   68
  260,19910108,   72
  260,19910109,   76
  260,19910110,   98
  260,19910111,   71
  260,19910112,   33
  260,19910113,   18
  260,19910114,   -1
  260,19910115,    2
  260,19910116,  -13
  260,19910117,    2
  260,19910118,   -1
  260,19910119,   11
  260,19910120,   15
  260,19910121,   53
  260,19910122,   35
  260,19910123,    4
  260,19910124,    1
  260,19910125,    3
  260,19910126,   25
  260,19910127,   35
  260,19910128,   22
  260,19910129,  -20
  260,19910130,   -6
  260,19910131,  -18
  260,19910201,  -42
  260,19910202,  -44
  260,19910203,  -67
  260,19910204,  -50
  260,19910205,   -9
  260,19910206,  -85
  260,19910207,  -81
  260,19910208,  -73
  260,19910209,  -73
  260,19910210,  -50
  260,19910211,  -33
  260,19910212,  -34
  260,19910213,  -29
  260,19910214,  -26
  260,19910215,    7
  260,19910216,   13
  260,19910217,    1
  260,19910218,   13
  260,19910219,  -13
  260,19910220,    4
  260,19910221,   26
  260,19910222,   56
  260,19910223,  100
  260,19910224,   92
  260,19910225,   74
  260,19910226,   63
  260,19910227,   25
  260,19910228,   23
  260,19910301,   41
  260,19910302,   44
  260,19910303,   63
  260,19910304,   64
  260,19910305,   93
  260,19910306,  115
  260,19910307,  131
  260,19910308,  120
  260,19910309,  101
  260,19910310,  117
  260,19910311,  111
  260,19910312,  108
  260,19910313,   98
  260,19910314,  110
  260,19910315,   93
  260,19910316,  119
  260,19910317,  101
  260,19910318,   87
  260,19910319,  107
  260,19910320,  119
  260,19910321,   99
  260,19910322,   64
  260,19910323,   51
  260,19910324,   67
  260,19910325,   68
  260,19910326,   70
  260,19910327,   81
  260,19910328,   72
  260,19910329,   58
  260,19910330,   54
  260,19910331,   89
  260,19910401,  101
  260,19910402,  104
  260,19910403,   96
  260,19910404,   79
  260,19910405,   83
  260,19910406,   94
  260,19910407,   94
  260,19910408,   97
  260,19910409,   94
  260,19910410,  118
  260,19910411,  150
  260,19910412,  149
  260,19910413,  148
  260,19910414,  134
  260,19910415,  129
  260,19910416,   66
  260,19910417,   52
  260,19910418,   35
  260,19910419,   40
  260,19910420,   25
  260,19910421,   41
  260,19910422,   56
  260,19910423,   49
  260,19910424,   60
  260,19910425,   78
  260,19910426,   87
  260,19910427,   81
  260,19910428,   67
  260,19910429,   71
  260,19910430,   81
  260,19910501,   78
  260,19910502,   77
  260,19910503,   68
  260,19910504,   76
  260,19910505,   77
  260,19910506,   82
  260,19910507,   95
  260,19910508,  100
  260,19910509,   96
  260,19910510,  100
  260,19910511,  102
  260,19910512,  107
  260,19910513,  120
  260,19910514,  100
  260,19910515,   76
  260,19910516,   75
  260,19910517,   77
  260,19910518,   78
  260,19910519,  108
  260,19910520,  134
  260,19910521,  151
  260,19910522,  121
  260,19910523,   98
  260,19910524,   97
  260,19910525,  111
  260,19910526,  113
  260,19910527,  109
  260,19910528,  103
  260,19910529,  121
  260,19910530,  139
  260,19910531,  113
  260,19910601,  100
  260,19910602,  100
  260,19910603,   84
  260,19910604,   80
  260,19910605,   97
  260,19910606,  118
  260,19910607,  135
  260,19910608,  123
  260,19910609,  142
  260,19910610,  139
  260,19910611,  137
  260,19910612,  139
  260,19910613,  131
  260,19910614,  137
  260,19910615,  119
  260,19910616,  112
  260,19910617,  113
  260,19910618,  118
  260,19910619,  110
  260,19910620,  120
  260,19910621,  143
  260,19910622,  157
  260,19910623,  152
  260,19910624,  154
  260,19910625,  166
  260,19910626,  154
  260,19910627,  128
  260,19910628,  126
  260,19910629,  133
  260,19910630,  149
  260,19910701,  161
  260,19910702,  205
  260,19910703,  223
  260,19910704,  226
  260,19910705,  241
  260,19910706,  229
  260,19910707,  234
  260,19910708,  210
  260,19910709,  162
  260,19910710,  188
  260,19910711,  245
  260,19910712,  184
  260,19910713,  172
  260,19910714,  170
  260,19910715,  157
  260,19910716,  164
  260,19910717,  169
  260,19910718,  149
  260,19910719,  166
  260,19910720,  170
  260,19910721,  171
  260,19910722,  172
  260,19910723,  209
  260,19910724,  170
  260,19910725,  157
  260,19910726,  167
  260,19910727,  172
  260,19910728,  209
  260,19910729,  229
  260,19910730,  234
  260,19910731,  178
  260,19910801,  180
  260,19910802,  188
  260,19910803,  186
  260,19910804,  187
  260,19910805,  203
  260,19910806,  229
  260,19910807,  198
  260,19910808,  173
  260,19910809,  178
  260,19910810,  203
  260,19910811,  187
  260,19910812,  163
  260,19910813,  152
  260,19910814,  171
  260,19910815,  192
  260,19910816,  178
  260,19910817,  166
  260,19910818,  153
  260,19910819,  164
  260,19910820,  170
  260,19910821,  177
  260,19910822,  227
  260,19910823,  188
  260,19910824,  164
  260,19910825,  173
  260,19910826,  163
  260,19910827,  174
  260,19910828,  156
  260,19910829,  164
  260,19910830,  175
  260,19910831,  194
  260,19910901,  212
  260,19910902,  193
  260,19910903,  206
  260,19910904,  194
  260,19910905,  168
  260,19910906,  142
  260,19910907,  153
  260,19910908,  149
  260,19910909,  145
  260,19910910,  158
  260,19910911,  130
  260,19910912,  115
  260,19910913,  126
  260,19910914,  156
  260,19910915,  164
  260,19910916,  140
  260,19910917,  164
  260,19910918,  158
  260,19910919,  134
  260,19910920,  108
  260,19910921,  140
  260,19910922,  156
  260,19910923,  145
  260,19910924,  181
  260,19910925,  148
  260,19910926,  141
  260,19910927,  115
  260,19910928,  119
  260,19910929,  133
  260,19910930,  114
  260,19911001,  115
  260,19911002,  127
  260,19911003,  138
  260,19911004,  117
  260,19911005,  127
  260,19911006,  109
  260,19911007,  100
  260,19911008,  139
  260,19911009,  133
  260,19911010,  148
  260,19911011,  157
  260,19911012,  131
  260,19911013,  126
  260,19911014,  121
  260,19911015,  114
  260,19911016,  130
  260,19911017,   98
  260,19911018,   86
  260,19911019,   72
  260,19911020,   64
  260,19911021,   49
  260,19911022,   77
  260,19911023,  100
  260,19911024,  101
  260,19911025,   96
  260,19911026,   73
  260,19911027,   51
  260,19911028,   70
  260,19911029,   64
  260,19911030,   55
  260,19911031,   77
  260,19911101,  101
  260,19911102,  123
  260,19911103,   97
  260,19911104,   62
  260,19911105,   66
  260,19911106,   62
  260,19911107,  115
  260,19911108,   98
  260,19911109,   55
  260,19911110,   53
  260,19911111,   70
  260,19911112,   63
  260,19911113,   69
  260,19911114,   50
  260,19911115,   40
  260,19911116,    2
  260,19911117,   12
  260,19911118,   60
  260,19911119,   48
  260,19911120,   22
  260,19911121,   -4
  260,19911122,   29
  260,19911123,   50
  260,19911124,   33
  260,19911125,    7
  260,19911126,   37
  260,19911127,   58
  260,19911128,   40
  260,19911129,   36
  260,19911130,   38
  260,19911201,   25
  260,19911202,   15
  260,19911203,    0
  260,19911204,   39
  260,19911205,   39
  260,19911206,    9
  260,19911207,   39
  260,19911208,   28
  260,19911209,   23
  260,19911210,  -22
  260,19911211,   -7
  260,19911212,    4
  260,19911213,    5
  260,19911214,    5
  260,19911215,  -13
  260,19911216,   19
  260,19911217,   56
  260,19911218,   67
  260,19911219,   88
  260,19911220,   48
  260,19911221,   72
  260,19911222,  113
  260,19911223,  100
  260,19911224,   58
  260,19911225,   37
  260,19911226,   73
  260,19911227,   68
  260,19911228,   65
  260,19911229,   59
  260,19911230,   61
  260,19911231,   47
