# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 260:         5.180       52.100       1.90  DE BILT
# 
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag); 
# TX       = Maximum temperatuur (in 0.1 graden Celsius); 
# 
# STN,YYYYMMDD,   TX
# 
  260,19910101,   70
  260,19910102,  121
  260,19910103,   93
  260,19910104,   90
  260,19910105,   83
  260,19910106,   71
  260,19910107,   92
  260,19910108,  114
  260,19910109,  104
  260,19910110,  129
  260,19910111,   91
  260,19910112,   53
  260,19910113,   63
  260,19910114,   22
  260,19910115,   39
  260,19910116,   21
  260,19910117,   44
  260,19910118,   44
  260,19910119,   59
  260,19910120,   51
  260,19910121,   73
  260,19910122,   59
  260,19910123,   12
  260,19910124,   25
  260,19910125,   21
  260,19910126,   34
  260,19910127,   58
  260,19910128,   59
  260,19910129,    6
  260,19910130,   24
  260,19910131,    9
  260,19910201,  -15
  260,19910202,   13
  260,19910203,  -25
  260,19910204,    1
  260,19910205,   21
  260,19910206,  -19
  260,19910207,  -55
  260,19910208,  -46
  260,19910209,  -33
  260,19910210,  -24
  260,19910211,  -14
  260,19910212,   13
  260,19910213,   15
  260,19910214,   17
  260,19910215,   30
  260,19910216,   31
  260,19910217,   39
  260,19910218,   49
  260,19910219,   53
  260,19910220,   45
  260,19910221,   74
  260,19910222,   73
  260,19910223,  120
  260,19910224,  130
  260,19910225,  114
  260,19910226,  122
  260,19910227,   53
  260,19910228,   42
  260,19910301,   86
  260,19910302,   62
  260,19910303,  100
  260,19910304,  130
  260,19910305,  121
  260,19910306,  160
  260,19910307,  177
  260,19910308,  151
  260,19910309,  118
  260,19910310,  159
  260,19910311,  149
  260,19910312,  163
  260,19910313,  177
  260,19910314,  176
  260,19910315,  117
  260,19910316,  160
  260,19910317,  130
  260,19910318,  123
  260,19910319,  128
  260,19910320,  143
  260,19910321,  141
  260,19910322,  115
  260,19910323,  100
  260,19910324,  114
  260,19910325,  112
  260,19910326,  120
  260,19910327,  137
  260,19910328,  109
  260,19910329,  114
  260,19910330,  116
  260,19910331,  114
  260,19910401,  144
  260,19910402,  141
  260,19910403,  133
  260,19910404,  129
  260,19910405,  112
  260,19910406,  141
  260,19910407,  129
  260,19910408,  132
  260,19910409,  161
  260,19910410,  187
  260,19910411,  219
  260,19910412,  220
  260,19910413,  221
  260,19910414,  194
  260,19910415,  198
  260,19910416,  100
  260,19910417,   93
  260,19910418,   68
  260,19910419,   80
  260,19910420,   79
  260,19910421,   95
  260,19910422,   95
  260,19910423,   92
  260,19910424,  127
  260,19910425,  142
  260,19910426,  149
  260,19910427,  138
  260,19910428,  119
  260,19910429,  100
  260,19910430,  116
  260,19910501,  114
  260,19910502,   98
  260,19910503,  103
