Jaar,Totaal stemmen,Ongeldige stemmen,Totaal geldige stemmen
1918,,,1344209
1922,,,2929569
1925,3236591,150729,3085862
1929,3541985,162482,3379503
1933,3899655,177827,3721828
1937,4212903,154826,4058077
1946,4912015,151304,4760711
1948,5089582,156623,4932959
1952,5501726,165981,5335745
1956,5849652,121910,5727742
1959,6143409,143878,5999531
1963,6419964,161443,6258521
1967,7076328,198298,6878030
1971,6364719,46567,6318152
1972,7445287,51242,7394045
1977,8365829,48217,8317612
1981,8738238,47401,8690837
1982,8273631,37115,8236516
1986,9199621,27462,9172159
1989,8919787,26485,8893302
1994,9027887,46331,8981556
1998,8622222,14435,8607787
2002,9515226,14074,9501152
2003,9666602,12127,9654475
2006,9854998,16315,9838683
